name,address,latitude,longitude,stars,price,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
Elfreths Alley Museum,126 Elfreth's Aly,39.9527089,-75.1424869,4.5,$$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Excel Physical Therapy,"1800 John F Kennedy Blvd, Ste 1800",39.9540022,-75.169996,4.5,$$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Exclusive Vape Shop,732 South St,39.9421634,-75.1550452,4.5,$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Fairmount Park,4231 N Concourse Dr,39.9987353985,-75.198543291,4.5,$,high family oriented,medium history oriented,high activity oriented,high nature oriented,low food oriented,no shopping oriented
Fairmount Water Works,640 Waterworks Dr,39.9660351,-75.1834918,4.5,$$$,medium family oriented,high history oriented,low activity oriented,high nature oriented,medium food oriented,no shopping oriented
Fante's Kitchen Shop,1006 S 9th St,39.9373725,-75.1583456,4.5,$$,medium family oriented,low history oriented,low activity oriented,no nature oriented,high food oriented,high shopping oriented
FDR Park,1500 Pattison Ave,39.9055502,-75.1755824,4.0,$$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
Fine Wine & Good Spirits,"Ivy Ridge Shopping Ctr, 7146 Ridge Ave",40.044217875,-75.2323440575,3.0,$$,no family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Fireman's Hall Museum,147 N 2nd St,39.9532769,-75.1427035,4.5,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Fishtown Rivercity Festival,1199 N Delaware Ave,39.9664442,-75.130128,4.5,$$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,medium food oriented,medium shopping oriented
Fitler Square Park,Pine St,39.947639,-75.180066,4.5,$,high family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Flavors Of The Avenue,1904 E Passyunk Ave,39.9264892346,-75.16764516,4.5,$$$,low family oriented,no history oriented,low activity oriented,low nature oriented,high food oriented,low shopping oriented
FlixBus,616 Market St,39.9505679,-75.151104,2.5,$$,low family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Flourishing Gifts,1200 Spruce St,39.9463002,-75.1612188,4.5,$$,no family oriented,no history oriented,no activity oriented,low nature oriented,no food oriented,high shopping oriented
Flying Monkey Bakery,12th St & Arch St,39.953807711,-75.1586299373,3.5,$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,medium shopping oriented
Fort Mifflin,6400 Hog Island Rd,39.8753247,-75.213082,4.0,$$,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,low shopping oriented
Founding Footsteps,302 Arch St,39.9520345,-75.1454345,5.0,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Franklin Square Mini Golf,200 N 6th St,39.9558477204,-75.1504862309,4.0,$$$,high family oriented,medium history oriented,low activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Franklin Square,200 N 6th St,39.9556999,-75.1501373,4.0,$$$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Free Library of Philadelphia - Walnut Street West,201 South 40th St,39.953812,-75.20246,3.5,$,high family oriented,low history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Free Tours By Foot,"20 N 3rd St, Ste 201",39.9509398664,-75.1458675238,5.0,$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,medium food oriented,low shopping oriented
Fringe Salon,"1901 S 9th St, Room 505",39.925288,-75.16007,4.5,$$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Funny Monk Emporium,4369 Cresson St,40.0266672,-75.2240864,4.0,$$,no family oriented,low history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
German Society of Pennsylvania,611 Spring Garden St,39.9616337097,-75.1492484038,3.5,$$$,no family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Ghost Tour of Philadelphia,5TH And Chestnut,39.9490351,-75.1491893,3.0,$$,low family oriented,medium history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Glen Foerd on the Delaware,5001 Grant Ave,40.0515769,-74.9789134,4.0,$$$,low family oriented,high history oriented,low activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Glendinning Rock Garden,Brewery Hill Dr,39.9761271,-75.1910898,4.5,$,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Glory Beer Bar & Kitchen,126 Chestnut St,39.9481792,-75.1435446,4.5,$$,low family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Gorgas Park,6400 Ridge Ave,40.0372093971,-75.2213931084,4.0,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Green Farm,10690 Bustleton Ave,40.109900911,-75.0252331048,4.5,$$,low family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,high shopping oriented
Green Street Dog Park,1819 Green St,39.964923,-75.168253,3.5,$$$,no family oriented,no history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Greensgrow Farms,2501 E Cumberland St,39.9781699,-75.1208563,4.5,$$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,high food oriented,high shopping oriented
Grim Philly Twilight Tours,Market and N 6th St,39.9509039,-75.1501212,4.0,$$$,low family oriented,high history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Harry Potter Festival,16 E Highland Ave,40.0706957901,-75.2101517966,2.0,$$,medium family oriented,low history oriented,medium activity oriented,low nature oriented,low food oriented,medium shopping oriented
Hawthorne Park,1200 Catherine St,39.9406571912,-75.1628391445,4.5,$,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Hidden River Outfitters,4100 Main St,40.0222502,-75.218689,4.5,$$$,low family oriented,low history oriented,high activity oriented,high nature oriented,no food oriented,no shopping oriented
"Historic Philadelphia, Inc","600 Walnut St, Ste 130",39.948321,-75.151952,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Historic Rittenhouse Town,208 Lincoln Dr,40.0296733,-75.1905835,4.0,$,medium family oriented,high history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
Historic Strawberry Mansion,2450 Strawberry Mansion Dr,39.994293,-75.190387,4.0,$,high family oriented,high history oriented,medium activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Humphrys Flag Company,238 Arch St,39.9519567,-75.144619,3.5,$$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Independence After Hours,600 Chestnut St,39.9491008173,-75.1491766423,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Independence Beer Garden,100 S Independence Mall W,39.9502943,-75.150981,3.5,$$,low family oriented,no history oriented,medium activity oriented,low nature oriented,medium food oriented,no shopping oriented
Independence Hall,520 Chestnut St,39.9488980012,-75.1500296367,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Independence National Historical Park,143 S 3rd St,39.9472668,-75.14594,4.5,$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Independence Seaport Museum,211 S Columbus Blvd,39.9459179924,-75.1404742245,4.0,$$$,high family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Independence Visitor Center,599 Market St,39.9509761191,-75.1500126909,4.5,$,high family oriented,high history oriented,low activity oriented,low nature oriented,medium food oriented,high shopping oriented
Indy Hall,"399 Market St, Ste 360",39.9503831584,-75.1468072442,4.5,$$$,no family oriented,low history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Institute of Contemporary Art,118 S 36th St,39.954085,-75.194714,4.0,$,low family oriented,low history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Jeff Cold Beer,1644 Wharton St,39.9345922,-75.1723254,4.0,$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Jezabel's,206-208 S 45th St,39.954922,-75.2118705,3.5,$,low family oriented,low history oriented,low activity oriented,medium nature oriented,high food oriented,no shopping oriented
Jim's South St,400 S St,39.941498,-75.149272,3.5,$$,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Joan of Arc,Kelly Dr & N 25th St,39.9664883266,-75.1791696022,4.5,$,low family oriented,medium history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
John F. Collins Park,1707 Chestnut St,39.9517692,-75.1690621,4.5,$,low family oriented,medium history oriented,low activity oriented,medium nature oriented,medium food oriented,low shopping oriented
John Heinz National Wildlife Refuge at Tinicum,8601 Lindbergh Blvd,39.8915607,-75.25734,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
John's Water Ice,701 Christian St,39.9382846,-75.1548943,4.5,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Jules Goldman Books and Antiques,29 N 2nd St,39.9507335,-75.1430684,4.0,$$,low family oriented,medium history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Julian Abele Park,22ND And Montrose,39.9411619,-75.1794706,4.5,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Juniata Golf Club,1391 E Cayuga St,40.0165748179,-75.1019701564,2.5,$$,low family oriented,no history oriented,medium activity oriented,medium nature oriented,low food oriented,no shopping oriented
Kelly Drive,10 Kelly Dr,39.969295957,-75.1847901312,4.5,$,medium family oriented,low history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
LeBus Cafe,Philadelphia International Airport,39.8654657,-75.2741557,2.0,$,no family oriented,no history oriented,no activity oriented,no nature oriented,medium food oriented,no shopping oriented
Lee's Deli,4700 Baltimore Ave,39.9484414,-75.2171163,4.5,$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Lemon Hill Mansion,1 Lemon Hill dr,39.970756,-75.187195,3.0,$$,low family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Lest We Forget Slavery Museum,5501 Germantown Ave,39.9886324,-75.0906987,5.0,$$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Liberty Bell Center,6th St & Chestnut St,39.9495774962,-75.1503095688,4.0,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Liberty Lands,913-961 N 3rd St,39.965642,-75.142115,4.0,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Lincoln Financial Field Tours,One Lincoln Financial Field Way,39.900998,-75.167496,4.5,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,low shopping oriented
Logan Circle,200 N 19th St,39.9585853,-75.1706228,4.5,$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Louis I. Kahn Memorial Park,11th & Pine St,39.9451425841,-75.1600501952,3.5,$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Love Park,Arch St And 16th St,39.9548784,-75.1663593,3.5,$,medium family oriented,low history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Malcolm X Park,51ST And Pine St,39.9526395,-75.2254086876,4.0,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Manayunk Arts Festival,4312 Main St,40.0246303,-75.2225181,4.5,$$$,medium family oriented,no history oriented,medium activity oriented,low nature oriented,medium food oriented,high shopping oriented
Manayunk Dog Park of Pretzel Park,4300 Silverwood St,40.0255502,-75.2210708,3.5,$,low family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Marian Anderson Recreation Center,740 S 17th St,39.942105,-75.171135,4.0,$,high family oriented,no history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Mario Lanza Park,200 Queen St,39.9373010149,-75.147322476,4.0,$,low family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Market Street Gold,936 Market St,39.9513496,-75.1565009,4.5,$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Markward Playground,400 S Taney St,39.9488349281,-75.1819870528,4.0,$,high family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Mask and Wig,310 S Quince St,39.946013,-75.160521,4.5,$$$,low family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
"Maxi's Pizza, Subs and Bar",1926 Liacouras Walk,39.98221,-75.155986,3.5,$,no family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Midtown Village Fall Festival,1300 Walnut St,39.9488867,-75.162323,4.5,$$,medium family oriented,no history oriented,medium activity oriented,no nature oriented,high food oriented,medium shopping oriented
Miracle On 13th Street,1600 South 13th St,39.9303402653,-75.1664796644,4.5,$,high family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Morris Arboretum,100 E Northwestern Ave,40.0897421913,-75.2229091136,4.5,$$$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Mother Bethel African Methodist Episcopal Church,419 S 6th St,39.9432889,-75.1517562,5.0,$$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Mummers Museum,1100 S 2nd St,39.9335527,-75.1475606,3.5,$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Mummers Parade,Broad St At Snyder Ave,39.9243928,-75.1697476,4.5,$,medium family oriented,high history oriented,medium activity oriented,no nature oriented,low food oriented,low shopping oriented
Municipal Services Building,1401 Jfk Blvd,39.9538327918,-75.1641762257,3.0,$,medium family oriented,no history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Mural Arts Philadelphia,128 N Broad St,39.9653670987,-75.1669141221,4.5,$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Museum of the American Revolution,101 S 3rd St,39.948212,-75.1455516,4.0,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
National Constitution Center,525 Arch St,39.953893,-75.149068,4.0,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
National Liberty Museum,321 Chestnut St,39.94883,-75.146832,4.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
National Museum of American Jewish History,101 S Independence Mall E,39.9502433661,-75.1485609997,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Neon Museum of Philadelphia,"1800 N American St, Unit E",39.978546,-75.1396602,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
NEST Center City,1301 Locust St,39.9480439,-75.1616468,4.0,$$,high family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,low shopping oriented
Night Market,1617 John F Kennedy Blvd,39.9542677,-75.1678993,3.0,$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,low shopping oriented
Old City District,231 Market St,39.9502865,-75.1447514,4.0,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,high food oriented,high shopping oriented
Old City Hall,33-99 S Independence Mall E,39.949042,-75.149198,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,medium shopping oriented
Olga S Pérez,1700 Market St,39.950165,-75.16919,5.0,$$$,no family oriented,no history oriented,no activity oriented,no nature oriented,no food oriented,no shopping oriented
Oregon Steaks,2654 S 10th St,39.91579,-75.1653879,3.5,$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Orianna Hill Dog Park,901-913 N Orianna St,39.9656131161,-75.1430350543,3.5,$$,low family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Painting with a Twist,611 South St,39.942221,-75.1527801,4.5,$$$,low family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Palace Travel,"123 S Broad St, Ste 1040",39.9498227,-75.1638251,2.0,$$$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Palmer Doggie Depot,35 E Palmer St,39.976028,-75.133136,3.5,$,low family oriented,no history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Parks On Tap-Azalea Gardens,636 Waterworks Dr,39.9683746112,-75.1838455246,3.5,$$$,medium family oriented,low history oriented,medium activity oriented,high nature oriented,high food oriented,no shopping oriented
Pat's King of Steaks,1237 E Passyunk Ave,39.9332010583,-75.159265814,3.0,$$,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Patriot Harbor Lines,211 S Columbus Blvd,39.9457958,-75.1405828,4.5,$$$,medium family oriented,medium history oriented,low activity oriented,high nature oriented,low food oriented,no shopping oriented
Penn Museum,3260 South St,39.949477,-75.1917841,4.5,$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Penn Treaty Park,1199 N Delaware Ave,39.9661152871,-75.1282826402,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
