name,address,latitude,longitude,stars,price,quality,location,service,safety
Live! Casino & Hotel Philadelphia,900 Packer Ave,39.9091912,-75.1646617,2.5,Unknown price,good quality,good location,average service,good safety
Loews Philadelphia Hotel,1200 Market St,39.9517461,-75.1602286,3.5,$$$,good quality,excellent location,average service,good safety
Lokal Hotel,139 N 3rd St,39.9532548,-75.14479,4.5,$$$,good quality,good location,good service,excellent safety
Microtel Inn & Suites by Wyndham Philadelphia Airport,8840 Tinicum Boulevard,39.8889605,-75.2457544,2.0,$,bad quality,below average location,bad service,bad safety
Microtel Inn & Suites,8840 Tincm Ave,39.88692,-75.24655,2.5,Unknown price,below average quality,average location,below average service,bad safety
Minute Suites,Terminal A-B Link,39.8789176098,-75.235748291,4.0,$$$,average quality,excellent location,average service,good safety
Morris House Hotel,225 S 8th St,39.9473689,-75.1542873,4.0,$$$,average quality,excellent location,average service,good safety
Motto By Hilton Philadelphia Rittenhouse Square,31 S 19th St,39.9525065,-75.1717068,4.0,$$,average quality,good location,average service,good safety
North American Motor Inns,4444 City Ave,40.0031369,-75.2213329,1.0,$,bad quality,below average location,bad service,bad safety
Panorama,14 N Front St,39.950201,-75.142285,4.0,$$$,average quality,good location,below average service,excellent safety
Peking Inn,"2020 Penrose Ave, Ste D",39.911958,-75.183405,2.5,$$,below average quality,average location,below average service,below average safety
Penn Tower Hotel,3400 Civic Center Blvd,39.948655197,-75.1919810278,1.5,$$,below average quality,good location,below average service,average safety
Penn's View Hotel,14 N Front St,39.950201,-75.142285,4.0,$$,good quality,excellent location,good service,good safety
Penrose Hotel,2033 Penrose Ave,39.912507,-75.18395,1.0,$$$,bad quality,below average location,bad service,bad safety
Philadelphia Airport Marriott,"One Arrivals Road, Terminal B",39.877788,-75.244411,3.0,$$,average quality,excellent location,average service,good safety
Philadelphia Hotel Bella Vista,752 S 10th St,39.9403402,-75.1594404,3.5,$,below average quality,excellent location,below average service,below average safety
Philadelphia Marriott Downtown,"1201 Market Street, (guest entrance at 1200 Filbert Street).",39.952534,-75.160578,3.0,$$,average quality,excellent location,average service,average safety
Philadelphia Marriott Old City,"One Dock St, 2nd and Walnut St",39.9452460633,-75.1433300972,3.0,$$$,average quality,good location,average service,average safety
Renaissance Philadelphia Downtown Hotel,401 Chestnut St,39.9490202,-75.1478095,3.0,$$,average quality,excellent location,good service,average safety
Residence Inn by Marriott Philadelphia Center City,One East Penn Sq,39.9526484795,-75.1624528099,3.5,$$,average quality,good location,average service,average safety
Residence Inn Philadelphia Airport,3701 Island Ave,39.8957530955,-75.2363016307,4.0,$$,average quality,good location,average service,good safety
Rodeway Inn Center City,1208 Walnut St,39.948766,-75.161061,2.5,$$,below average quality,good location,bad service,below average safety
Roosevelt Inn,"7600 Roosevelt Blvd, Ste 1",40.0507104,-75.0519427,2.0,$$,bad quality,below average location,below average service,bad safety
ROOST Apartment Hotel,111 S 15th St,39.9505683,-75.1657016,4.5,$$$,good quality,excellent location,good service,good safety
ROOST East Market,1199 Ludlow St,39.9513351232,-75.1597861201,4.5,Unknown price,good quality,excellent location,good service,good safety
ROOST Rittenhouse,1831 Chestnut St,39.9520087,-75.1715201,4.0,Unknown price,excellent quality,excellent location,excellent service,good safety
Sheraton Philadelphia Downtown,201 North 17th Street,39.9570991,-75.1670329,2.5,$$,average quality,good location,below average service,below average safety
Sheraton Philadelphia University City Hotel,3549 Chestnut St,39.954872,-75.194173,2.5,$$,below average quality,good location,average service,average safety
Sheraton Suites Philadelphia Airport,4101 B Island Ave,39.890563284,-75.2315340866,2.5,$$,below average quality,good location,average service,below average safety
Sleep Inn Center City,1020 Cherry St,39.9546067076,-75.157443872,3.5,$,average quality,good location,good service,average safety
Society Hill Hotel,301 Chestnut St,39.9488102,-75.1461255,2.0,$,bad quality,good location,bad service,bad safety
Sofitel Philadelphia,120 S 17th St,39.9509482,-75.1695409,4.0,$$,good quality,excellent location,average service,average safety
Sonesta Philadelphia Rittenhouse Square,1800 Market St,39.9525251125,-75.1697713137,3.0,$$,average quality,excellent location,average service,good safety
Southern Inn,5741 Woodland Ave,39.9326866,-75.2245579,4.0,$,average quality,below average location,below average service,below average safety
The Bellevue Hotel,200 S Broad St,39.9491188,-75.1648441,3.5,$$$,average quality,excellent location,average service,good safety
The Conwell Inn,1331 Pollet Walk,39.981812,-75.15764,3.5,$$,average quality,excellent location,good service,good safety
The Dwight D,256 S 16th St,39.9479893,-75.1682766,4.5,$$,good quality,excellent location,good service,excellent safety
The Franklin Residences,834 Chestnut St,39.9493831,-75.1551309,5.0,$$$,good quality,excellent location,excellent service,excellent safety
The Gables,4520 Chester Ave,39.9468926,-75.2121474,5.0,Unknown price,good quality,good location,excellent service,good safety
"The Inn at Penn, a Hilton Hotel",3600 Sansom St,39.9537829039,-75.1957815881,4.0,$$$,good quality,excellent location,good service,good safety
The Inn at The Union League,1450 Sansom,39.9502330538,-75.1651874081,3.5,$$$,average quality,good location,average service,good safety
"The Logan Philadelphia, Curio Collection by Hilton",1 Logan Sq,39.9569323,-75.1702705,3.5,$$$,average quality,excellent location,below average service,good safety
"The Notary Hotel, Autograph Collection",21 N Juniper St,39.9530827357,-75.1621869785,3.5,$$$,good quality,excellent location,average service,good safety
The Rittenhouse Hotel,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.0,$$$,good quality,excellent location,good service,excellent safety
"The Ritz-Carlton, Philadelphia",10 Avenue of the Arts,39.9514456414,-75.1641494036,3.5,$$$,average quality,excellent location,average service,good safety
The Spa at The Logan,1 Logan Square,39.956853,-75.169558,4.0,Unknown price,average quality,good location,average service,good safety
The Study at University City,20 S 33rd St,39.9544058,-75.1900591,4.0,$$,average quality,excellent location,average service,good safety
The Warwick Hotel Rittenhouse Square,220 S 17th St,39.9486999512,-75.1694030762,3.0,$$$,average quality,excellent location,below average service,below average safety
The Westin Philadelphia,99 South 17th Street at Liberty Place,39.951929,-75.168421,3.0,$$,average quality,excellent location,below average service,average safety
The Windsor Suites,1700 Benjamin Franklin Pkwy,39.9557404,-75.1683553,3.5,$$,average quality,excellent location,below average service,average safety
Thomas Bond House,129 S 2nd St,39.9474906,-75.1440147,4.5,Unknown price,average quality,excellent location,good service,good safety
Tokio Sushi Bistro & Bed & Breakfast,124 Lombard St,39.9419748,-75.1448595,2.5,Unknown price,below average quality,average location,bad service,below average safety
Union League of Philadelphia,140 S Broad St,39.949988,-75.1645963,4.0,Unknown price,good quality,excellent location,good service,excellent safety
W Philadelphia,1439 Chestnut St,39.9515202,-75.1650621,3.5,$$$,good quality,good location,average service,good safety
Wyndham Philadelphia Historic District,400 Arch St,39.9520404,-75.147515,2.5,$$,below average quality,good location,below average service,average safety
