name,address,latitude,longitude,stars,price,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
FDR Park,1500 Pattison Ave,39.9055502,-75.1755824,4.0,$$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
Fireman's Hall Museum,147 N 2nd St,39.9532769,-75.1427035,4.5,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Fishtown Rivercity Festival,1199 N Delaware Ave,39.9664442,-75.130128,4.5,$$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,medium food oriented,medium shopping oriented
Fitler Square Park,Pine St,39.947639,-75.180066,4.5,$,high family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Fort Mifflin,6400 Hog Island Rd,39.8753247,-75.213082,4.0,$$,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,low shopping oriented
Founding Footsteps,302 Arch St,39.9520345,-75.1454345,5.0,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Franklin Square Mini Golf,200 N 6th St,39.9558477204,-75.1504862309,4.0,$$$,high family oriented,medium history oriented,low activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Franklin Square,200 N 6th St,39.9556999,-75.1501373,4.0,$$$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Free Library of Philadelphia - Walnut Street West,201 South 40th St,39.953812,-75.20246,3.5,$,high family oriented,low history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Free Tours By Foot,"20 N 3rd St, Ste 201",39.9509398664,-75.1458675238,5.0,$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,medium food oriented,low shopping oriented
Glendinning Rock Garden,Brewery Hill Dr,39.9761271,-75.1910898,4.5,$,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Gorgas Park,6400 Ridge Ave,40.0372093971,-75.2213931084,4.0,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Greensgrow Farms,2501 E Cumberland St,39.9781699,-75.1208563,4.5,$$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,high food oriented,high shopping oriented
Harry Potter Festival,16 E Highland Ave,40.0706957901,-75.2101517966,2.0,$$,medium family oriented,low history oriented,medium activity oriented,low nature oriented,low food oriented,medium shopping oriented
Hawthorne Park,1200 Catherine St,39.9406571912,-75.1628391445,4.5,$,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
"Historic Philadelphia, Inc","600 Walnut St, Ste 130",39.948321,-75.151952,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Historic Rittenhouse Town,208 Lincoln Dr,40.0296733,-75.1905835,4.0,$,medium family oriented,high history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
Historic Strawberry Mansion,2450 Strawberry Mansion Dr,39.994293,-75.190387,4.0,$,high family oriented,high history oriented,medium activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Independence After Hours,600 Chestnut St,39.9491008173,-75.1491766423,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Independence National Historical Park,143 S 3rd St,39.9472668,-75.14594,4.5,$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Independence Seaport Museum,211 S Columbus Blvd,39.9459179924,-75.1404742245,4.0,$$$,high family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Independence Visitor Center,599 Market St,39.9509761191,-75.1500126909,4.5,$,high family oriented,high history oriented,low activity oriented,low nature oriented,medium food oriented,high shopping oriented
John Heinz National Wildlife Refuge at Tinicum,8601 Lindbergh Blvd,39.8915607,-75.25734,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
John's Water Ice,701 Christian St,39.9382846,-75.1548943,4.5,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Julian Abele Park,22ND And Montrose,39.9411619,-75.1794706,4.5,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Kelly Drive,10 Kelly Dr,39.969295957,-75.1847901312,4.5,$,medium family oriented,low history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Lee's Deli,4700 Baltimore Ave,39.9484414,-75.2171163,4.5,$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Liberty Bell Center,6th St & Chestnut St,39.9495774962,-75.1503095688,4.0,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Liberty Lands,913-961 N 3rd St,39.965642,-75.142115,4.0,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Lincoln Financial Field Tours,One Lincoln Financial Field Way,39.900998,-75.167496,4.5,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,low shopping oriented
Logan Circle,200 N 19th St,39.9585853,-75.1706228,4.5,$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Louis I. Kahn Memorial Park,11th & Pine St,39.9451425841,-75.1600501952,3.5,$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Love Park,Arch St And 16th St,39.9548784,-75.1663593,3.5,$,medium family oriented,low history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Malcolm X Park,51ST And Pine St,39.9526395,-75.2254086876,4.0,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Manayunk Arts Festival,4312 Main St,40.0246303,-75.2225181,4.5,$$$,medium family oriented,no history oriented,medium activity oriented,low nature oriented,medium food oriented,high shopping oriented
Marian Anderson Recreation Center,740 S 17th St,39.942105,-75.171135,4.0,$,high family oriented,no history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Markward Playground,400 S Taney St,39.9488349281,-75.1819870528,4.0,$,high family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Midtown Village Fall Festival,1300 Walnut St,39.9488867,-75.162323,4.5,$$,medium family oriented,no history oriented,medium activity oriented,no nature oriented,high food oriented,medium shopping oriented
Miracle On 13th Street,1600 South 13th St,39.9303402653,-75.1664796644,4.5,$,high family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Morris Arboretum,100 E Northwestern Ave,40.0897421913,-75.2229091136,4.5,$$$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Mummers Museum,1100 S 2nd St,39.9335527,-75.1475606,3.5,$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Mummers Parade,Broad St At Snyder Ave,39.9243928,-75.1697476,4.5,$,medium family oriented,high history oriented,medium activity oriented,no nature oriented,low food oriented,low shopping oriented
Municipal Services Building,1401 Jfk Blvd,39.9538327918,-75.1641762257,3.0,$,medium family oriented,no history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Mural Arts Philadelphia,128 N Broad St,39.9653670987,-75.1669141221,4.5,$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Museum of the American Revolution,101 S 3rd St,39.948212,-75.1455516,4.0,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
National Constitution Center,525 Arch St,39.953893,-75.149068,4.0,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
National Liberty Museum,321 Chestnut St,39.94883,-75.146832,4.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
National Museum of American Jewish History,101 S Independence Mall E,39.9502433661,-75.1485609997,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Neon Museum of Philadelphia,"1800 N American St, Unit E",39.978546,-75.1396602,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
NEST Center City,1301 Locust St,39.9480439,-75.1616468,4.0,$$,high family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,low shopping oriented
Night Market,1617 John F Kennedy Blvd,39.9542677,-75.1678993,3.0,$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,low shopping oriented
Old City District,231 Market St,39.9502865,-75.1447514,4.0,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,high food oriented,high shopping oriented
Palace Travel,"123 S Broad St, Ste 1040",39.9498227,-75.1638251,2.0,$$$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Parks On Tap-Azalea Gardens,636 Waterworks Dr,39.9683746112,-75.1838455246,3.5,$$$,medium family oriented,low history oriented,medium activity oriented,high nature oriented,high food oriented,no shopping oriented
Patriot Harbor Lines,211 S Columbus Blvd,39.9457958,-75.1405828,4.5,$$$,medium family oriented,medium history oriented,low activity oriented,high nature oriented,low food oriented,no shopping oriented
Penn Museum,3260 South St,39.949477,-75.1917841,4.5,$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Penn Treaty Park,1199 N Delaware Ave,39.9661152871,-75.1282826402,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Penn's Landing,601 N Christopher Columbus Blvd,39.9600237,-75.1371563,3.5,$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Penn's Landing,Blue Cross River Rin,39.9479483,-75.1397376,4.0,$$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,high food oriented,low shopping oriented
Pennsylvania Academy of Fine Arts,118-128 N Broad St,39.955637,-75.16349,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Pennypack Park,8635 Pine Rd,40.0897361,-75.0701876,4.0,$,medium family oriented,no history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
Philadelphia Art Alliance,251 S 18th St,39.9482091,-75.1708177,4.5,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Philadelphia Insectarium & Butterfly Pavilion,8046 Frankford Ave,40.0425104,-75.0263674,4.0,$$$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,no food oriented,low shopping oriented
Philadelphia International Festival of the Arts PIFA Street Fair,300 S Broad St Philadelphia,39.9466218,-75.1649506,4.0,$$$,high family oriented,low history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy,39.965573,-75.180969,4.5,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Philadelphia Science Festival,222 N 20th St,39.952335,-75.163789,4.0,$,high family oriented,low history oriented,medium activity oriented,no nature oriented,low food oriented,no shopping oriented
Philadelphia Segway Tours By Wheel Fun Rentals,1 N Independence Mall W,39.9512828,-75.1500017,4.0,$$$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,medium food oriented,no shopping oriented
Philadelphia Sightseeing Tours & Transportation,111 S Independence Mall E,39.9497654425,-75.1487727165,3.0,$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,no shopping oriented
Philadelphia Urban Adventures,229 Arch St,39.952091,-75.1401399646,4.5,$$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,medium shopping oriented
Philadelphia Zoo,3400 W Girard Ave,39.9719921474,-75.1962714728,4.0,$$$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Philadelphia's 9th Street Italian Market,919 S 9th St,39.9389055424,-75.157853149,4.5,$,medium family oriented,medium history oriented,medium activity oriented,no nature oriented,high food oriented,high shopping oriented
Philadelphia's Magic Gardens,1020 S St,39.942712,-75.159313,4.5,$,medium family oriented,medium history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Philly Bike Tour,2015 Fairmount Ave,39.967468,-75.17083,5.0,$$,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Philly Official Guide,229 Arch St,39.9367535,-75.1647938,5.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Philly Tour Hub,7 N. Columbus Blvd,39.951459,-75.140206,5.0,$$,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,low shopping oriented
Pizza Brain,2313 Frankford Ave,39.9806746,-75.1280968,4.0,$$,high family oriented,low history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Pleasant Hill Park,Linden Ave & Delaware Ave,40.0425577,-74.9909737,4.5,$,high family oriented,low history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Please Touch Museum,4231 Ave Of The Republic,39.979483,-75.20901,4.0,$$$,high family oriented,low history oriented,medium activity oriented,no nature oriented,medium food oriented,low shopping oriented
Powel House,244 S 3rd St,39.9457592,-75.1469267,4.5,$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Pretzel Park,4300 Silverwood St,40.0255502,-75.2210708,4.0,$,medium family oriented,low history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
PrimoHoagies,1528 W Ritner St,39.9209271,-75.1733058,4.0,$,medium family oriented,low history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Punk Rock Flea Market,461 N Ninth St,39.9604,-75.1528521,4.0,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Race Street Pier,Race St & N Columbus Blvd,39.9532324138,-75.1398003101,4.5,$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Reading Terminal Market,51 N 12th St,39.9533414645,-75.1588545174,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Restaurant Week,660 Chestnut St,39.952335,-75.163789,3.5,$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Rittenhouse Square District,210 W Rittenhouse Sq,39.9494,-75.1721,4.5,$$$,medium family oriented,low history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Rittenhouse Square Park,1800 Walnut St,39.949479455,-75.1718883762,4.5,$$,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,low food oriented,low shopping oriented
RiverLink Ferry System,Coulmbus Blvd And Walnut St,39.9440860716,-75.1321510462,3.5,$$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Rizzo Ice Rink,1001 S Front St,39.9331908667,-75.1456254256,3.5,$$,high family oriented,no history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Roberto Clemente Park & Playground,1800 Mt Vernon St,39.965164,-75.1675341,4.5,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Rocky Steps,2600 Benjamin Franklin Pkw,39.9658014703,-75.1811616495,4.5,$,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,low food oriented,low shopping oriented
Ryerss Museum & Library,7370 Central Ave,40.0686225,-75.0886261,4.0,$,high family oriented,high history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Schuylkill Banks,"2501 Walnut St, Ste 206",39.9521288,-75.1807123,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Schuylkill Center For Environmental Education,8480 Hagys Mill Rd,40.05579,-75.252292,5.0,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Schuylkill River Park,300 S 25th St,39.9488054891,-75.1817243795,4.5,$,high family oriented,low history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
Science History Institute,315 Chestnut St,39.9490708,-75.1464205,4.5,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Sedgely Woods Disc Golf Club,33rd St & Oxford St,39.9814298488,-75.19176174,4.0,$,medium family oriented,no history oriented,high activity oriented,high nature oriented,no food oriented,no shopping oriented
Seger Dog Park,1001 Rodman St,39.943364,-75.159817,4.5,$$,high family oriented,no history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Shane Confectionery,110 Market St,39.9495474,-75.1426984,4.5,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,high food oriented,high shopping oriented
Shofuso Japanese House & Garden,Horticultural Dr And Lansdowne Dr,39.981419,-75.213578,4.0,$$$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,low shopping oriented
Simeone Foundation Automotive Museum,6825-31 Norwitch Dr,39.9106009,-75.2264093,5.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,low shopping oriented
Singing Fountain,Passyunk Ave And 11th St,39.93027,-75.1629972,4.5,$,medium family oriented,low history oriented,low activity oriented,low nature oriented,medium food oriented,low shopping oriented
Sister Cities Park,18th St & the Benjamin Franklin Pkwy,39.9579448279,-75.1696747541,4.5,$$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Smith Memorial Playground & Playhouse,3500 Reservoir Dr,39.981734,-75.195622,4.5,$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,low food oriented,no shopping oriented
South Street Headhouse District,2nd And Lombard St,39.942175,-75.145318,4.0,$$,medium family oriented,medium history oriented,low activity oriented,low nature oriented,high food oriented,high shopping oriented
Spirit of Philadelphia,401 S Columbus Blvd,39.9415984538,-75.1405771664,3.0,$$$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Spirits of '76 Ghost Tours,325 Chestnut St,39.949088,-75.147154,3.0,$$$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Spruce Street Harbor Park,121 N Columbus Blvd,39.9445424967,-75.1414754636,4.0,$$$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
StrEATS of Philly Food Tours,"1500 Market St, Ste W-3110",39.9523167,-75.1664857,5.0,$$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,low shopping oriented
Suraya,1528 Frankford Ave,39.9736865005,-75.1339557767,4.5,$$$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,high food oriented,low shopping oriented
Swann Memorial Fountain,Logan Square,39.956385,-75.1705897,4.5,$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Tattooed Mom,530 South St,39.9416802,-75.1519159,4.0,$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
The African American Museum in Philadelphia,701 Arch St,39.9532614,-75.1517562,3.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
The American Swedish Historical Museum,1900 Pattison Ave,39.9059506526,-75.1810532598,5.0,$$,high family oriented,high history oriented,low activity oriented,medium nature oriented,medium food oriented,low shopping oriented
The Betsy Ross House,239 Arch St,39.9522798,-75.1446095,4.0,$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,medium shopping oriented
The Big Bus Company,600 Market St,39.9505117,-75.1507681,3.5,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
The Comcast Experience HD Video Wall,1701 Arch St,39.9544765361,-75.1685419632,4.0,$,high family oriented,low history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
The Constitutional Walking Tour,525 Arch St,39.9540249,-75.1488831,4.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
The Franklin Institute Science Museum,222 N 20th St,39.9582109,-75.1731373822,4.0,$$$,high family oriented,low history oriented,medium activity oriented,no nature oriented,low food oriented,low shopping oriented
The Horticulture Center,100 N Horticultural Dr,39.9834081617,-75.2104556483,4.5,$,medium family oriented,low history oriented,low activity oriented,high nature oriented,medium food oriented,low shopping oriented
The Irish Memorial Monument,Front St And Chestnut St,39.9481737,-75.1424642,4.0,$,medium family oriented,high history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
The Navy Yard,4747 S Broad St,39.8931518,-75.1745567,4.0,$$,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,medium food oriented,low shopping oriented
The Oval,Eakins Oval,39.9637657632,-75.1785304025,4.0,$$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
The Piazza,1001 N 2nd St,39.9665611,-75.1399899,3.5,$$$,medium family oriented,no history oriented,medium activity oriented,low nature oriented,high food oriented,medium shopping oriented
The Porch At 30th Street Station,2955 Market St,39.9549101998,-75.1823393146,4.0,$,medium family oriented,low history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
The Rocky Statue,2600 Benjamin Franklin Pkwy,39.9651747614,-75.179284802,4.0,$,medium family oriented,low history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
The Schuylkill River Loop,1 Boathouse Row,39.9695828,-75.1876317,4.5,$,medium family oriented,low history oriented,high activity oriented,high nature oriented,low food oriented,no shopping oriented
The Signer's Garden,498 Chestnut St,39.9488186002,-75.1489040628,4.5,$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
The Towpath,Alongside the Manayunk Canal & the Schuylkill River,40.0288905,-75.226028,4.0,$,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
The United States Mint,151 N Independence Mall E,39.9533704258,-75.148115658,4.0,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,medium shopping oriented
The Wanamaker Eagle,1300 Market St,39.9514445941,-75.1621564708,5.0,$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,medium shopping oriented
University Family Fun Center,4006 Spruce St,39.9515382,-75.2034857,4.0,$$,high family oriented,low history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Wagner Free Institute of Science,1700 W Montgomery Ave,39.980651,-75.16287,5.0,$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Walnut Lane Golf Club,800 Walnut Ln,40.0302273,-75.2028247,3.0,$$$,medium family oriented,low history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
